Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
Maneuver to select star in SCT			SCT					OpticsHandcontrollerSwitch	-1	0			
  F 01 70	10	HIDDEN_DELAY							-1	1			
Key V21E			DSKY					DSKY V 2 1 E	1	1			
Enter Selected Star Code 000XX							XX is the selected star code		-1	0			
OPT MODE - CMC			122					OpticsModeSwitch	1	1			
OPT SPEED - HI								ControllerSpeedSwitch	2	1			
PRO			DSKY					DSKY P	1	1			
  06 92							The Scanning Telescope and the Sextant move to the supposed star position automatically.		-1	1			
  R1 Shaft XXX.XX DEG									-1	1			
  R2 Trunnion XX.XXX DEG									-1	1			
OPT MODE - MAN	60	HIDDEN_DELAY	122					OpticsModeSwitch	0	1			
  F 51			DSKY						-1	1			
Center target in SCT			SCT					OpticsHandcontrollerSwitch	-1	0			
OPT SPEED - LO			122					ControllerSpeedSwitch	0	1			
Center target in SXT			SXT					OpticsHandcontrollerSwitch	-1	0			
MARK								OpticsMarkButton	1	1			
  F 50 25			DSKY				Press MARK REJ to reject a unsatisfactory mark		-1	1			
  R1 00016									-1	1			
PRO								DSKY P	1	1			
  F 01 71									-1	1			
  R1 000XX							XX is the selected star code		-1	1			
PRO								DSKY P	1	1			
  F 06 05					IMU orientation adjustment				-1	1			
  R1 XXX.XX DEG							The difference of the angle between the 2 stars and the angle to between the 2 marks to check the marking quality. Allowable limits are +00011 for the SCT and +00003 for the SXT. 		-1	1			
PRO								DSKY P	1	1			
  F 06 93									-1	1			
"  Delta R, P, Y XX.XXX DEG"									-1	1			
Key V37E 00E			DSKY		Exit P52			DSKY V 3 7 E 0 0 E	1	1			
OPT SPEED - HI			122					ControllerSpeedSwitch	2	1			
OPT ZERO - ZERO								OpticsZeroSwitch	1	1			
